image_id,prediction,confidence
test_00001,4,0.6050146222114563
test_00002,0,0.36449089646339417
test_00003,4,0.5882454514503479
test_00004,4,0.9927567839622498
test_00005,0,0.4536963701248169
test_00006,3,0.9842187762260437
test_00007,1,0.6806400418281555
test_00008,0,0.9933781027793884
test_00009,3,0.9099363088607788
test_00010,1,0.9432931542396545
test_00011,4,0.746066153049469
test_00012,1,0.44194698333740234
test_00013,0,0.6136975288391113
test_00014,0,0.9701302647590637
test_00015,3,0.956917941570282
test_00016,5,0.7827984690666199
test_00017,1,0.9716106057167053
test_00018,5,0.6550898551940918
test_00019,1,0.47751155495643616
test_00020,2,0.3379954397678375
test_00021,2,0.9564388990402222
test_00022,4,0.46622970700263977
test_00023,4,0.9952667951583862
test_00024,0,0.994855523109436
test_00025,2,0.9353389739990234
test_00026,5,0.9917511343955994
test_00027,0,0.4044332802295685
test_00028,1,0.9396894574165344
test_00029,4,0.4825575053691864
test_00030,2,0.9280654191970825
test_00031,4,0.8269381523132324
test_00032,0,0.9303323030471802
test_00033,2,0.45271775126457214
test_00034,5,0.9984115362167358
test_00035,2,0.5494064092636108
test_00036,3,0.6185010075569153
test_00037,3,0.9488809108734131
test_00038,4,0.9647117853164673
test_00039,2,0.9303650856018066
test_00040,4,0.5805742144584656
test_00041,5,0.9532479643821716
test_00042,0,0.5987016558647156
test_00043,5,0.9893731474876404
test_00044,0,0.8322026133537292
test_00045,4,0.893539547920227
test_00046,5,0.9319748878479004
test_00047,4,0.5078467726707458
test_00048,2,0.7112663388252258
test_00049,4,0.9489096403121948
test_00050,2,0.41680917143821716
test_00051,0,0.5198962688446045
test_00052,0,0.9972865581512451
test_00053,4,0.8637489676475525
test_00054,1,0.9297691583633423
test_00055,3,0.8131173253059387
test_00056,2,0.7538400292396545
test_00057,3,0.95217365026474
test_00058,0,0.9900744557380676
test_00059,0,0.996796190738678
test_00060,5,0.9467982649803162
test_00061,1,0.9359660744667053
test_00062,4,0.7592476606369019
test_00063,5,0.9415155649185181
test_00064,3,0.9827338457107544
test_00065,1,0.9669833779335022
test_00066,3,0.9809598922729492
test_00067,1,0.9389054775238037
test_00068,0,0.9532773494720459
test_00069,2,0.4888944923877716
test_00070,5,0.8772130608558655
test_00071,0,0.9405340552330017
test_00072,5,0.9972143769264221
test_00073,3,0.92657870054245
test_00074,4,0.9574329257011414
test_00075,1,0.9803111553192139
test_00076,3,0.978561520576477
test_00077,5,0.5253521800041199
test_00078,5,0.9927565455436707
test_00079,5,0.2516656517982483
test_00080,3,0.8712042570114136
test_00081,4,0.8850600719451904
test_00082,0,0.9775856733322144
test_00083,3,0.9010279178619385
test_00084,1,0.9724580645561218
test_00085,5,0.8076438903808594
test_00086,3,0.9414883255958557
test_00087,3,0.46018484234809875
test_00088,4,0.5156771540641785
test_00089,1,0.8913129568099976
test_00090,4,0.9534116983413696
test_00091,1,0.9508190751075745
test_00092,0,0.9860320091247559
test_00093,1,0.9500521421432495
test_00094,4,0.5065111517906189
test_00095,3,0.9923524260520935
test_00096,0,0.9680680632591248
test_00097,1,0.7967772483825684
test_00098,3,0.3090726137161255
test_00099,3,0.994612455368042
test_00100,3,0.9900548458099365
test_00101,1,0.9828479290008545
test_00102,5,0.9899550676345825
test_00103,1,0.8118051290512085
test_00104,2,0.7279800772666931
test_00105,5,0.9962969422340393
test_00106,4,0.978050947189331
test_00107,0,0.9082253575325012
test_00108,2,0.8361092209815979
test_00109,4,0.9128803610801697
test_00110,3,0.6053736209869385
test_00111,2,0.772223174571991
test_00112,1,0.6243274211883545
test_00113,3,0.9125587940216064
test_00114,5,0.6221965551376343
test_00115,1,0.7974188327789307
test_00116,1,0.9778361320495605
test_00117,2,0.9200751781463623
test_00118,5,0.8689301013946533
test_00119,5,0.7605118155479431
test_00120,5,0.6546902656555176
test_00121,5,0.9928144812583923
test_00122,4,0.9253184795379639
test_00123,4,0.9138097167015076
test_00124,1,0.9666256904602051
test_00125,1,0.9786369800567627
test_00126,3,0.7136930227279663
test_00127,4,0.9462738633155823
test_00128,3,0.9915332198143005
test_00129,1,0.9347655773162842
test_00130,3,0.6935910582542419
test_00131,4,0.9974133372306824
test_00132,4,0.4540007412433624
test_00133,3,0.9537574648857117
test_00134,3,0.7572363018989563
test_00135,5,0.7612732648849487
test_00136,5,0.9966683983802795
test_00137,0,0.9950566291809082
test_00138,2,0.8701674938201904
test_00139,3,0.3610783815383911
test_00140,1,0.9608234167098999
test_00141,5,0.9968379735946655
test_00142,1,0.9910486936569214
test_00143,0,0.5607193112373352
test_00144,2,0.9941608309745789
test_00145,0,0.9590526223182678
test_00146,3,0.662452220916748
test_00147,0,0.9914029240608215
test_00148,2,0.8687206506729126
test_00149,0,0.7256714105606079
test_00150,2,0.8212012052536011
test_00151,3,0.9872801899909973
test_00152,1,0.969124972820282
test_00153,0,0.7906869053840637
test_00154,0,0.9851111769676208
test_00155,5,0.4141673743724823
test_00156,3,0.9794965386390686
test_00157,2,0.8672968745231628
test_00158,2,0.7386132478713989
test_00159,1,0.9824388027191162
test_00160,4,0.6218000054359436
test_00161,0,0.92536860704422
test_00162,3,0.7597525715827942
test_00163,5,0.947395384311676
test_00164,1,0.9139410853385925
test_00165,3,0.9039229154586792
test_00166,5,0.9721962809562683
test_00167,4,0.6783603429794312
test_00168,2,0.5459647178649902
test_00169,1,0.9433823823928833
test_00170,0,0.5757946372032166
test_00171,1,0.914376974105835
test_00172,3,0.9735486507415771
test_00173,2,0.6479626297950745
test_00174,4,0.9851049780845642
test_00175,4,0.9304682612419128
test_00176,2,0.9942026734352112
test_00177,3,0.9726104736328125
test_00178,5,0.6319942474365234
test_00179,3,0.49126946926116943
test_00180,3,0.9703063368797302
test_00181,0,0.8528368473052979
test_00182,3,0.8792436718940735
test_00183,3,0.5956878662109375
test_00184,4,0.8934850692749023
test_00185,5,0.9589394927024841
test_00186,1,0.897016704082489
test_00187,0,0.39660629630088806
test_00188,4,0.8239648342132568
test_00189,3,0.965848982334137
test_00190,3,0.841273307800293
test_00191,0,0.881355881690979
test_00192,1,0.8673502802848816
test_00193,2,0.5374004244804382
test_00194,4,0.624543309211731
test_00195,5,0.9578924179077148
test_00196,1,0.9865163564682007
test_00197,2,0.7366021275520325
test_00198,1,0.9758464097976685
test_00199,5,0.9992751479148865
test_00200,2,0.9457578063011169
test_00201,2,0.5612484812736511
test_00202,0,0.9518433809280396
test_00203,3,0.9867044687271118
test_00204,4,0.5662086009979248
test_00205,5,0.914860725402832
test_00206,1,0.744390606880188
test_00207,2,0.8776965737342834
test_00208,3,0.5692909955978394
test_00209,1,0.801557719707489
test_00210,0,0.9437493681907654
test_00211,5,0.9560970067977905
test_00212,1,0.7997326254844666
test_00213,0,0.6096237897872925
test_00214,0,0.9974915981292725
test_00215,1,0.9890758991241455
test_00216,5,0.782812237739563
test_00217,5,0.9482460021972656
test_00218,5,0.9763986468315125
test_00219,0,0.8563032746315002
test_00220,5,0.5316450595855713
test_00221,5,0.5860844254493713
test_00222,5,0.6389867663383484
test_00223,1,0.9780900478363037
test_00224,2,0.6833274960517883
test_00225,1,0.9720492362976074
test_00226,5,0.9963046312332153
test_00227,2,0.9793421626091003
test_00228,4,0.5242336988449097
test_00229,5,0.7795804738998413
test_00230,0,0.9923607707023621
test_00231,5,0.9950542449951172
test_00232,4,0.5236943364143372
test_00233,3,0.9410637021064758
test_00234,3,0.8998001217842102
test_00235,1,0.9780821800231934
test_00236,2,0.7625496983528137
test_00237,1,0.9394546747207642
test_00238,3,0.9880719184875488
test_00239,2,0.5461010932922363
test_00240,5,0.7924585938453674
test_00241,2,0.8737637400627136
test_00242,0,0.9010741114616394
test_00243,3,0.9320354461669922
test_00244,5,0.5452272295951843
test_00245,1,0.9680829048156738
test_00246,4,0.9867894053459167
test_00247,4,0.9749031662940979
test_00248,2,0.9165681600570679
test_00249,2,0.9638614058494568
test_00250,2,0.931752622127533
test_00251,5,0.9873749017715454
test_00252,5,0.9336161017417908
test_00253,2,0.5421688556671143
test_00254,3,0.9952123165130615
test_00255,0,0.5085270404815674
test_00256,4,0.807252049446106
test_00257,2,0.9375593662261963
test_00258,4,0.8996169567108154
test_00259,1,0.9496265649795532
test_00260,2,0.8835881948471069
test_00261,1,0.9673359990119934
test_00262,4,0.8126710057258606
test_00263,3,0.3690716326236725
test_00264,3,0.994799017906189
test_00265,2,0.6381853222846985
test_00266,5,0.9991740584373474
test_00267,2,0.5511118173599243
test_00268,2,0.3915572464466095
test_00269,5,0.7208986878395081
test_00270,5,0.9619004726409912
test_00271,4,0.7374267578125
test_00272,0,0.9916915893554688
test_00273,4,0.9860320091247559
test_00274,3,0.8959414958953857
test_00275,5,0.9235283136367798
test_00276,3,0.47482866048812866
test_00277,4,0.6818892359733582
test_00278,5,0.9376999139785767
test_00279,3,0.434545636177063
test_00280,0,0.5464761257171631
test_00281,2,0.7829731702804565
test_00282,5,0.9316686987876892
test_00283,0,0.4874895513057709
test_00284,0,0.913613498210907
test_00285,0,0.8680561184883118
test_00286,5,0.9454902410507202
test_00287,3,0.534098207950592
test_00288,3,0.8572019934654236
test_00289,0,0.7451658248901367
test_00290,4,0.7451501488685608
test_00291,1,0.9427659511566162
test_00292,1,0.9670905470848083
test_00293,0,0.6854951977729797
test_00294,1,0.9007577300071716
test_00295,4,0.578836977481842
test_00296,2,0.8718367218971252
test_00297,5,0.9534918665885925
test_00298,3,0.7365481853485107
test_00299,2,0.622943639755249
test_00300,5,0.9932730197906494
test_00301,5,0.9953279495239258
test_00302,5,0.9922263622283936
test_00303,2,0.6465628743171692
test_00304,3,0.43356338143348694
test_00305,1,0.9500787258148193
test_00306,2,0.3205401599407196
test_00307,4,0.9303441643714905
test_00308,5,0.9474763870239258
test_00309,1,0.514491081237793
test_00310,4,0.7712100148200989
test_00311,3,0.8264682292938232
test_00312,3,0.7586708664894104
test_00313,5,0.9978359341621399
test_00314,0,0.4300476610660553
test_00315,1,0.9035577774047852
test_00316,4,0.7456434369087219
test_00317,5,0.7611087560653687
test_00318,2,0.3740366995334625
